age,employment,gender,race,household_income,education,state,vote_trump
31,0,0,1,"$45,000 to $49,999",High school graduate,ID,1
34,1,0,1,"$125,000 to $149,999","College Degree (such as B.A., B.S.)",LA,1
30,1,1,1,"$50,000 to $54,999","Completed some college, but no degree",FL,1
31,0,1,0,"$45,000 to $49,999",High school graduate,MO,0
61,0,1,1,"$25,000 to $29,999","Completed some graduate, but no degree",FL,0
20,0,1,1,"Less than $14,999",High school graduate,MN,1
18,0,1,1,"$200,000 to $249,999",High school graduate,CO,0
20,1,1,1,"$60,000 to $64,999",More than College,WA,0
52,1,0,0,"$75,000 to $79,999","Completed some graduate, but no degree",NJ,0
25,0,0,0,"$150,000 to $174,999","College Degree (such as B.A., B.S.)",WI,0
29,0,0,1,"Less than $14,999",High school graduate,OH,1
66,0,1,1,"$20,000 to $24,999","Completed some college, but no degree",PA,1
43,1,1,1,"$200,000 to $249,999",More than College,NH,1
37,1,1,1,"$250,000 and above","College Degree (such as B.A., B.S.)",VA,1
44,1,1,0,"$35,000 to $39,999","College Degree (such as B.A., B.S.)",NC,1
54,0,1,0,"$35,000 to $39,999",High school graduate,VA,0
69,0,1,1,"Less than $14,999","Completed some college, but no degree",FL,1
66,0,0,1,"$25,000 to $29,999","Completed some college, but no degree",NE,0
42,1,1,1,"$150,000 to $174,999",More than College,CA,0
46,0,0,0,"Less than $14,999","Completed some college, but no degree",IL,0
24,0,0,0,"Less than $14,999","Completed some college, but no degree",TX,0
66,0,0,1,"$20,000 to $24,999",Completed some high school,OR,1
77,0,0,1,"$100,000 to $124,999","College Degree (such as B.A., B.S.)",NJ,0
41,0,0,1,"$100,000 to $124,999",More than College,SC,1
33,1,1,1,"$125,000 to $149,999",More than College,CA,1
44,0,0,1,"$60,000 to $64,999","College Degree (such as B.A., B.S.)",PA,0
75,0,1,1,"$95,000 to $99,999","College Degree (such as B.A., B.S.)",WA,0
18,0,0,1,"$20,000 to $24,999","Completed some college, but no degree",CA,0
35,1,1,1,"$60,000 to $64,999","College Degree (such as B.A., B.S.)",FL,0
32,1,1,0,"$65,000 to $69,999",Completed some high school,CA,0
45,1,1,1,"$100,000 to $124,999",More than College,CA,1
53,0,0,1,"$50,000 to $54,999",High school graduate,AZ,1
40,1,1,1,"$150,000 to $174,999",More than College,NY,1
67,0,0,1,"$55,000 to $59,999","Completed some college, but no degree",TX,0
41,0,0,0,"$30,000 to $34,999",High school graduate,CA,0
38,0,0,1,"Less than $14,999",Completed some high school,TX,1
28,0,0,1,"$30,000 to $34,999","Completed some college, but no degree",TX,0
67,0,1,1,"$70,000 to $74,999",More than College,FL,1
44,0,0,1,"$40,000 to $44,999","Completed some college, but no degree",CA,0
41,0,1,1,"$30,000 to $34,999",Completed some high school,OH,0
57,0,1,0,"Less than $14,999",High school graduate,CO,0
36,0,0,0,"$85,000 to $89,999",More than College,CA,0
24,1,1,0,"$70,000 to $74,999","Completed some college, but no degree",FL,0
27,0,1,1,"$15,000 to $19,999",Completed some high school,CA,0
65,0,0,1,"$60,000 to $64,999","Completed some college, but no degree",MD,1
51,1,0,1,"$35,000 to $39,999","Completed some college, but no degree",KY,1
45,0,0,0,"$50,000 to $54,999","College Degree (such as B.A., B.S.)",CA,0
64,1,1,1,"$150,000 to $174,999","Completed some college, but no degree",TX,0
20,0,0,1,"Less than $14,999","Completed some graduate, but no degree",NY,1
32,0,0,1,"$150,000 to $174,999","College Degree (such as B.A., B.S.)",CA,1
42,1,1,1,"$35,000 to $39,999","Completed some college, but no degree",NC,0
19,0,0,0,"$85,000 to $89,999","Completed some college, but no degree",OH,0
55,0,1,1,"$45,000 to $49,999",More than College,OH,1
20,1,1,0,"Less than $14,999","Completed some college, but no degree",IL,0
20,0,0,0,"$35,000 to $39,999","Completed some college, but no degree",TX,1
52,1,1,1,"$20,000 to $24,999","Completed some college, but no degree",CA,0
48,0,0,1,"$100,000 to $124,999","College Degree (such as B.A., B.S.)",IL,0
20,0,1,1,"Less than $14,999","Completed some college, but no degree",FL,1
40,0,1,1,"$100,000 to $124,999",High school graduate,NC,1
54,0,1,1,"$150,000 to $174,999","College Degree (such as B.A., B.S.)",IA,0
55,0,0,1,"$60,000 to $64,999","College Degree (such as B.A., B.S.)",CA,0
78,0,1,1,"$30,000 to $34,999",High school graduate,GA,1
62,0,1,1,"Less than $14,999","Completed some college, but no degree",CA,0
54,0,0,0,"$30,000 to $34,999",High school graduate,AZ,1
37,0,0,0,"Less than $14,999","Completed some college, but no degree",SC,0
76,0,1,1,"$75,000 to $79,999","Completed some graduate, but no degree",OH,0
41,1,1,1,"$100,000 to $124,999",More than College,VA,0
71,0,1,1,"Less than $14,999","Completed some college, but no degree",IN,0
40,1,1,1,"$150,000 to $174,999",More than College,GA,1
69,0,0,1,"$125,000 to $149,999",High school graduate,MA,1
44,0,0,1,"$40,000 to $44,999","Completed some graduate, but no degree",CA,0
43,1,0,1,"$175,000 to $199,999","College Degree (such as B.A., B.S.)",MD,1
26,0,0,1,"$35,000 to $39,999","Completed some college, but no degree",MO,0
37,0,0,1,"$55,000 to $59,999",High school graduate,OH,1
35,1,1,1,"$250,000 and above",More than College,NC,1
21,0,0,0,"Less than $14,999","College Degree (such as B.A., B.S.)",WI,0
25,1,0,0,"Less than $14,999",High school graduate,IL,0
47,0,0,1,"$45,000 to $49,999",High school graduate,CA,0
30,0,0,0,"$250,000 and above","College Degree (such as B.A., B.S.)",NY,0
35,1,0,0,"$25,000 to $29,999",Completed some high school,HI,0
32,0,1,0,"$45,000 to $49,999","Completed some college, but no degree",CA,0
35,1,0,1,"$100,000 to $124,999",More than College,NY,1
40,1,1,1,"$200,000 to $249,999",More than College,CA,1
43,1,1,1,"$25,000 to $29,999",Completed some high school,MO,1
